番号,名言（英語）,名言の日本語訳,発言者,発言者の情報,深い文法解説,写真のURL
264,Only those who will risk going too far can possibly find out how far one can go.,行き過ぎるリスクを負う者だけが、自分がどれだけ遠くへ行けるかを知ることができる。,T.S. Eliot,イギリスの詩人、劇作家。ノーベル文学賞受賞者。,,-
265,It is during our darkest moments that we must focus to see the light.,光を見るために集中しなければならないのは、最も暗い時期においてである。,Aristotle Onassis,ギリシャの実業家。海運業で巨万の富を築いた。,,-
266,The best revenge is to be unlike him who performed the injury.,最高の復讐とは、あなたを傷つけた相手のようにならないことだ。,Marcus Aurelius,第16代ローマ皇帝、ストア派の哲学者。『自省録』の著者。,,-
267,A mind is like a parachute. It doesn't work if it is not open.,心はパラシュートのようなものだ。開いていなければ機能しない。,Frank Zappa,アメリカのミュージシャン、作曲家。自由な発想を重んじた。,,-
268,Keep going. Everything you need will come to you at the perfect time.,止まらずに進み続けなさい。あなたに必要なものはすべて、完璧なタイミングでやってくる。,Unknown,（詠み人知らず）,,-
269,"In the end, we only regret the chances we didn't take.",結局のところ、私たちが後悔するのは、掴まなかったチャンスのことだけだ。,Lewis Carroll,イギリスの数学者、作家。『不思議の国のアリス』の著者。,,-
270,I never lose. I either win or learn.,私は決して負けない。勝つか、学ぶかのどちらかだ。,Nelson Mandela,南アフリカ共和国の元大統領。失敗を成長の糧とした。,,-
271,"Difficulties in life are intended to make us better, not bitter.",人生の困難は、私たちを「苦々しく」するためではなく「良く」するためにある。,Dan Reeves,アメリカの元アメリカンフットボールの選手・ヘッドコーチ。,,-
272,Be so good they can't ignore you.,誰も無視できないくらい、圧倒的に優れなさい。,Steve Martin,アメリカのコメディアン、俳優、作家。,,-
273,Stars can't shine without darkness.,星は暗闇なしでは輝くことができない。,D.H. Sidebottom,イギリスの作家。逆境の価値をポエティックに表現した。,,-
274,Don't let the fear of losing be greater than the excitement of winning.,負けることへの恐怖を、勝つことへの興奮よりも大きくしてはいけない。,Robert Kiyosaki,アメリカの投資家、実業家。『金持ち父さん 貧乏父さん』の著者。,,-
275,"The trouble is, you think you have time.",問題なのは、「自分には時間がある」と思ってしまうことだ。,Jack Kornfield,アメリカの作家、仏教指導者。（ブッダの言葉として引用されることも多い）,,-
276,"Work hard in silence, let your success be your noise.",沈黙の中で懸命に働き、成功に雄弁に語らせなさい。,Frank Ocean,アメリカのシンガーソングライター。,,-
277,"Do what is right, not what is easy nor what is popular.",簡単なことや人気のあることではなく、正しいことをしなさい。,Roy T. Bennett,アメリカの作家。誠実さの重要性を説いた。,,-
278,"Your life does not get better by chance, it gets better by change.",人生は偶然によって良くなるのではなく、変化によって良くなるのだ。,Jim Rohn,アメリカの起業家、自己啓発作家。自ら行動を起こすことの意義を説く。,,-
279,"Don't raise your voice, improve your argument.",声を荒げるのではなく、議論（論拠）を深めなさい。,Desmond Tutu,南アフリカの平和運動家、聖公会主教。ノーベル平和賞受賞者。,,-
280,"Sometimes you win, sometimes you learn.",勝つ時もあれば、学ぶ時もある。,John C. Maxwell,アメリカのリーダーシップ専門家、作家。失敗の捉え方を示した。,,-
281,The key to success is to start before you are ready.,成功の鍵は、準備ができる前に始めることだ。,Marie Forleo,アメリカの起業家、ライフコーチ。,,-
282,Nothing diminishes anxiety faster than action.,行動することほど早く不安を減らしてくれるものはない。,Walter Anderson,アメリカの画家、作家。,,-
283,Do what you feel in your heart to be right – for you'll be criticized anyway.,あなたの心が正しいと思うことをしなさい。どうせ批判されるのだから。,Eleanor Roosevelt,アメリカのファーストレディ。他人の目を気にしない強さを説いた。,,-
284,Dream big and dare to fail.,大きな夢を持ち、あえて失敗を恐れるな。,Norman Vaughan,アメリカの探検家。南極大陸を探検した。,,-
285,Opportunities multiply as they are seized.,機会は、それを掴むたびに増大していく。,Sun Tzu（孫子）,古代中国の兵法家。『孫子の兵法』の著者。,,-
286,Fear is only as deep as the mind allows.,恐怖の深さは、心が許す深さでしかない。,Japanese Proverb,日本のことわざ。恐怖は自分の心が作り出しているという教え。,,-
287,Vision without execution is just hallucination.,実行を伴わないビジョンは、ただの幻覚にすぎない。,Henry Ford,フォード・モーターの創設者。アイデアを行動に移す重要性を強調した。,,-
288,An investment in knowledge pays the best interest.,知識への投資が、最高の利子を生む。,Benjamin Franklin,アメリカの政治家、科学者、著述家。自己研鑽の価値を説いた。,,-
289,Change is the law of life.,変化とは人生の法則である。,John F. Kennedy,第35代アメリカ合衆国大統領。変化を恐れず受け入れる姿勢を示した。,,-
290,"If you fell down yesterday, stand up today.",もし昨日転んだのなら、今日立ち上がりなさい。,H.G. Wells,イギリスの小説家。『宇宙戦争』や『タイム・マシン』の著者。,,-
291,Don't wait. The time will never be just right.,待ってはいけない。「完璧なタイミング」など決して来ないのだから。,Napoleon Hill,アメリカの著作家。成功哲学の提唱者。,,-
292,The starting point of all achievement is desire.,すべての達成の出発点は、願望である。,Napoleon Hill,アメリカの成功哲学者。『思考は現実化する』の著者。,,-
293,What we fear of doing most is usually what we most need to do.,私たちが最もすることを恐れていることこそ、通常、最もする必要があることだ。,Ralph Waldo Emerson,アメリカの思想家、哲学者。,,-
294,We generate fears while we sit. We overcome them by action.,私たちは座っている間に恐怖を生み出し、行動によってそれを克服する。,Dr. Henry Link,アメリカの心理学者。,,-
295,Worry is like a rocking chair: it gives you something to do but never gets you anywhere.,心配することはロッキングチェアのようなものだ。やることは与えてくれるが、どこにも連れて行ってはくれない。,Erma Bombeck,アメリカのユーモア作家、コラムニスト。,,-
296,Courage is doing what you are afraid to do.,勇気とは、恐れていることを実行することだ。,Eddie Rickenbacker,アメリカの第一次世界大戦のエース・パイロット。,,-
297,Every day is a second chance.,毎日は、セカンドチャンス（やり直しの機会）である。,Unknown,（詠み人知らず）,,-
298,Make your life a masterpiece; imagine no limitations.,あなたの人生を最高傑作にしなさい。限界はないと想像するのだ。,Brian Tracy,カナダ出身の自己啓発作家、モチベーショナル・スピーカー。,,-
299,Every artist was first an amateur.,どんなアーティストも、最初はアマチュアだった。,Ralph Waldo Emerson,アメリカの思想家。最初から完璧な人はいないと励ます言葉。,,-
300,Take the risk or lose the chance.,リスクを取るか、チャンスを失うかだ。,Unknown,（詠み人知らず）,,-
301,To change one's life: Start immediately. Do it flamboyantly.,人生を変えるには、すぐに始めなさい。そして、華々しくやりなさい。,William James,アメリカの哲学者、心理学者。プラグマティズムの代表的思索家。,,-
302,"Be yourself, but always your better self.",自分自身でありなさい。しかし、常に「より良い自分」でありなさい。,Karl G. Maeser,ドイツ出身の教育者。,,-
303,We can do anything we want to if we stick to it long enough.,もし十分に長くそれに固執（継続）するなら、私たちは望むことは何でもできる。,Helen Keller,アメリカの著述家、教育家、社会福祉活動家。,,-
304,Your most unhappy customers are your greatest source of learning.,あなたにとって最も不満を抱いている顧客こそが、最大の学びの源である。,Bill Gates,Microsoftの共同創業者。ビジネスにおけるフィードバックの重要性を説く。,,-
305,Never interrupt your enemy when he is making a mistake.,敵が間違いを犯している時は、決して邪魔をしてはならない。,Napoleon Bonaparte,フランスの軍人、皇帝。,,-
306,He who is not courageous enough to take risks will accomplish nothing in life.,リスクを取る勇気がない者は、人生で何も達成することはないだろう。,Muhammad Ali,アメリカの元プロボクサー。,,-
307,Hope is a waking dream.,希望とは、目覚めている時に見る夢である。,Aristotle,古代ギリシャの哲学者。,,-
308,"The most difficult thing is the decision to act, the rest is merely tenacity.",最も難しいのは行動するという決断であり、残りは単なる執念にすぎない。,Amelia Earhart,アメリカの女性飛行士。女性として初めて大西洋単独横断飛行に成功。,,-
309,Life is either a daring adventure or nothing at all.,人生は大胆な冒険か、あるいは何でもないかのどちらかだ。,Helen Keller,アメリカの著述家、社会福祉活動家。重い障害を乗り越え世界中に希望を与えた。,,-
310,"All our dreams can come true, if we have the courage to pursue them.",私たちのすべての夢は実現できる。それを追い求める勇気があれば。,Walt Disney,アメリカのアニメーター、映画監督。ディズニーリゾートの創設者。,,-
311,The future depends on what you do today.,未来は、あなたが今日何をするかにかかっている。,Mahatma Gandhi,インドの独立運動指導者。「非暴力・不服従」を提唱した。,,-
312,Believe in yourself and all that you are.,自分自身と、自分のすべてを信じなさい。,Christian D. Larson,アメリカの自己啓発作家。ニューソート運動の指導者の一人。,,-
313,Don't be afraid to give up the good to go for the great.,偉大なものを手に入れるために、良いものを手放すことを恐れてはならない。,John D. Rockefeller,アメリカの実業家。スタンダード・オイルを創業し、巨万の富を築いた。,,-
314,A successful man is one who can lay a firm foundation with the bricks others have thrown at him.,成功者とは、他人が自分に投げつけたレンガでしっかりした基礎を築くことができる人のことだ。,David Brinkley,アメリカのニュースキャスター、ジャーナリスト。,,-
315,Nothing in the world can take the place of Persistence.,この世界で、忍耐（粘り強さ）の代わりになるものは何もない。,Calvin Coolidge,第30代アメリカ合衆国大統領。寡黙な性格で知られた。,,-
316,The difference between ordinary and extraordinary is that little extra.,「普通」と「並外れたもの」の違いは、そのほんの少しの「余分な努力（エクストラ）」にある。,Jimmy Johnson,アメリカのアメリカンフットボールの元コーチ、スポーツ解説者。,,-
317,"If you can't explain it simply, you don't understand it well enough.",シンプルに説明できないのなら、あなたはそれを十分に理解していないということだ。,Albert Einstein,ドイツ生まれの理論物理学者。相対性理論の提唱者。,,-
318,You measure the size of the accomplishment by the obstacles you had to overcome to reach your goals.,目標に到達するために乗り越えなければならなかった障害によって、達成の大きさを測るのだ。,Booker T. Washington,アメリカの教育者、著作家。アフリカ系アメリカ人の地位向上に尽力した。,,-
319,What seems to us as bitter trials are often blessings in disguise.,私たちにとって苦い試練に見えるものは、多くの場合、変装した祝福である。,Oscar Wilde,アイルランド出身の詩人、作家、劇作家。,,-
320,Don't wish it were easier. Wish you were better.,簡単であればいいのにと願うな。自分がより良くなれるように願いなさい。,Jim Rohn,アメリカの起業家、自己啓発作家。,,-
321,A smooth sea never made a skilled sailor.,穏やかな海は決して熟練の船乗りを育てない。,Franklin D. Roosevelt,第32代アメリカ合衆国大統領。ニューディール政策を推進した。,,-
322,The only place where success comes before work is in the dictionary.,成功（success）が努力（work）より前に来るのは、辞書の中だけだ。,Vidal Sassoon,イギリス出身のヘアドレッサー、実業家。サスーンカットを考案。,,-
323,Opportunity is missed by most people because it is dressed in overalls and looks like work.,チャンスは多くの人に逃されてしまう。なぜなら、それは作業着を着ていて、労働のように見えるからだ。,Thomas Edison,アメリカの発明家。白熱電球や蓄音機など数々の発明を行った。,,-
324,Definiteness of purpose is the starting point of all achievement.,目的の明確さが、すべての達成の出発点である。,W. Clement Stone,アメリカの実業家、著作家。ナポレオン・ヒルと共に成功哲学を広めた。,,-
325,You can't build a reputation on what you are going to do.,これからやろうとしていることでは、評判を築くことはできない。,Henry Ford,フォード・モーターの創設者。自動車の大量生産方式を確立した。,,-
326,Knowing yourself is the beginning of all wisdom.,自分自身を知ることは、すべての知恵の始まりである。,Aristotle,古代ギリシャの哲学者。多岐にわたる学問を体系化した。,,-
327,Peace comes from within. Do not seek it without.,平和は内面からやってくる。それを外に求めてはならない。,Buddha（ブッダ）,仏教の開祖。本名はゴータマ・シッダールタ。,,-
328,"To be a great champion you must believe you are the best. If you're not, pretend you are.",偉大なチャンピオンになるには、自分が最高だと信じなければならない。もしそうでないなら、そのふりをしろ。,Muhammad Ali,アメリカの元プロボクサー。ヘビー級チャンピオン。,,-
329,Honesty is the first chapter in the book of wisdom.,誠実さは、知恵の書の第1章である。,Thomas Jefferson,第3代アメリカ合衆国大統領。独立宣言の主な起草者。,,-
330,"Be not afraid of life. Believe that life is worth living, and your belief will help create the fact.",人生を恐れてはいけない。人生は生きる価値があると信じなさい。その信念が、事実を創り出す助けとなる。,William James,アメリカの哲学者、心理学者。プラグマティズムの代表的思索家。,,-
331,"Out of clutter, find simplicity.",混沌の中から、シンプルさを見つけ出しなさい。,Albert Einstein,ドイツ生まれの理論物理学者。20世紀最大の物理学者とも称される。,,-
332,You can never cross the ocean until you have the courage to lose sight of the shore.,岸を見失う勇気がない限り、決して海を渡ることはできない。,Christopher Columbus,イタリア出身の探検家。大西洋を横断しアメリカ大陸に到達した。,,-
333,The way to know life is to love many things.,人生を知る方法は、多くのものを愛することだ。,Vincent van Gogh,オランダのポスト印象派の画家。『ひまわり』や『星月夜』などで知られる。,,-
334,"We know what we are, but know not what we may be.",私たちは自分が何者かを知っているが、何になれるかは知らない。,William Shakespeare,イギリスの劇作家、詩人。『ハムレット』などを執筆。,,-
335,Keep true to the dreams of thy youth.,汝の若き日の夢に忠実であれ。,Friedrich Schiller,ドイツの詩人、劇作家、思想家。ベートーヴェンの「第九」の原詩を手掛けた。,,-
336,There is always light. If only we're brave enough to see it. If only we're brave enough to be it.,光は常にある。私たちにそれを見る勇気さえあれば。私たちがそれになる勇気さえあれば。,Amanda Gorman,アメリカの詩人、活動家。大統領就任式で詩を朗読したことで知られる。,,-
337,The bad news is time flies. The good news is you're the pilot.,悪い知らせは、時間は飛ぶように過ぎていくこと。良い知らせは、あなたがそのパイロットであることだ。,Michael Altshuler,アメリカの起業家、モチベーショナル・スピーカー。,,-
338,"You don't always need a plan. Sometimes you just need to breathe, trust, let go, and see what happens.",いつも計画が必要なわけではない。ただ呼吸し、信じ、手放し、何が起こるかを見るだけでいい時もある。,Mandy Hale,アメリカのブロガー、作家。,,-
339,I have decided to stick with love. Hate is too great a burden to bear.,私は愛にこだわることに決めた。憎しみは、背負うにはあまりにも重すぎる荷物だからだ。,Martin Luther King Jr.,アメリカの公民権運動の指導者。人種差別撤廃に尽力した。,,-
340,We rise by lifting others.,私たちは、他人を引き上げることで自らも上昇する。,Robert Ingersoll,アメリカの弁護士、政治家、雄弁家。,,-
341,I survived because the fire inside me burned brighter than the fire around me.,私が生き残ったのは、私の内なる炎が、周りの炎よりも明るく燃えていたからだ。,Joshua Graham,（ゲーム『Fallout: New Vegas』のキャラクター。名言として広く引用される）,,-
342,"Sometimes you will never know the value of a moment, until it becomes a memory.",その瞬間が思い出になるまで、その価値を決して知ることがない時がある。,Dr. Seuss,アメリカの絵本作家。独特な韻を踏んだ作品で知られる。,,-
343,To live will be an awfully big adventure.,生きるということは、とてつもなく大きな冒険になるだろう。,J.M. Barrie,イギリスの劇作家、小説家。『ピーター・パン』の作者。,,-
344,Those who realize their folly are not true fools.,自分の愚かさに気づいている者は、本当の愚か者ではない。,Zhuangzi（荘子）,古代中国の思想家。道家の代表的人物。,,-
345,The true measure of a man is how he treats someone who can do him absolutely no good.,人の真の価値は、自分に何の利益ももたらさない相手をどう扱うかで測られる。,Samuel Johnson,18世紀イギリスの文学者、辞書編集者。,,-
346,The only disability in life is a bad attitude.,人生における唯一の障害は、悪い態度である。,Scott Hamilton,アメリカの元フィギュアスケート選手。オリンピック金メダリスト。,,-
347,"Whatever you do, do with all your might.",何をするにしても、全力でやりなさい。,Marcus Tullius Cicero,古代ローマの政治家、哲学者、弁論家。,,-
348,Give me six hours to chop down a tree and I will spend the first four sharpening the axe.,木を切り倒すのに6時間与えられたら、私は最初の4時間を斧を研ぐことに費やすだろう。,Abraham Lincoln,第16代アメリカ合衆国大統領。準備の重要性を説いた。,,-
349,You do not find the happy life. You make it.,幸せな人生は「見つける」ものではない。あなたが「作る」ものだ。,Camilla Eyring Kimball,アメリカの著述家。,,-
350,"A single rose can be my garden... a single friend, my world.",一輪のバラが私の庭になり得る。そして一人の友が、私の世界になり得る。,Leo Buscaglia,アメリカの教育学者、作家。「愛の伝道師」と呼ばれた。,,-
351,You define your own life. Don't let other people write your script.,自分の人生を定義するのは自分だ。他人に自分の台本を書かせてはいけない。,Oprah Winfrey,アメリカのテレビ司会者、プロデューサー。,,-
352,"Words can inspire, thoughts can provoke, but only action truly brings you closer to your dreams.",言葉はインスピレーションを与え、思考は刺激を与えることができる。しかし、真にあなたを夢に近づけるのは行動だけである。,Brad Sugars,オーストラリア出身の起業家、ビジネスコーチ。,,-
353,"If you look at what you have in life, you'll always have more.",人生で自分が持っているものに目を向ければ、いつでもより多くのものを得られる。,Oprah Winfrey,アメリカのテレビ司会者。感謝の心を持つことの大切さを説いた。,,-
354,"The most effective way to do it, is to do it.",最も効果的な方法は、「それをやること」だ。,Amelia Earhart,アメリカの女性飛行士。女性として初めて大西洋単独横断飛行に成功。,,-
355,"A creative man is motivated by the desire to achieve, not by the desire to beat others.",創造的な人は、他人に勝つことへの欲求ではなく、達成することへの欲求によって動機づけられる。,Ayn Rand,ロシア系アメリカ人の小説家、思想家。,,-
356,"To invent, you need a good imagination and a pile of junk.",発明に必要なのは、豊かな想像力とガラクタの山だ。,Thomas Edison,アメリカの発明家。身近なものから数々の革新を生み出した。,,-
357,Always bear in mind that your own resolution to succeed is more important than any other.,成功するというあなた自身の決意が、他の何よりも重要であることを常に心に留めておきなさい。,Abraham Lincoln,第16代アメリカ合衆国大統領。強い意志で国難を乗り越えた。,,-
358,"Never regret a day in your life: good days give happiness, bad days give experience.",人生の1日たりとも後悔してはいけない。良い日は幸福を与え、悪い日は経験を与えてくれるのだから。,Unknown,（詠み人知らず）,,-
359,Mistakes are the portals of discovery.,間違いは、発見への入り口である。,James Joyce,アイルランドの小説家、詩人。『ユリシーズ』の著者。,,-
360,"If you don't like the road you're walking, start paving another one.",もし自分の歩いている道が気に入らないなら、別の道を舗装し始めなさい。,Dolly Parton,アメリカのシンガーソングライター、女優。,,-
361,"No matter what people tell you, words and ideas can change the world.",誰が何と言おうと、言葉とアイデアは世界を変えることができる。,Robin Williams,アメリカの俳優、コメディアン。映画『いまを生きる』のセリフより。,,-
362,Every noble work is at first impossible.,すべての気高い事業は、最初は不可能に思えるものだ。,Thomas Carlyle,イギリスの歴史家、思想家、評論家。,,-
363,The measure of intelligence is the ability to change.,知性の尺度は、変化する能力である。,Albert Einstein,ドイツ生まれの理論物理学者。柔軟な思考を重要視した。,,-
364,"And now that you don't have to be perfect, you can be good.",完璧である必要がなくなった今、あなたは「善良」になることができる。,John Steinbeck,アメリカの小説家。『怒りの葡萄』や『エデンの東』の著者。,,-
365,The journey of a thousand miles begins with one step.,,,,,
